source_city,destination_city,cabin_class,season,demand,days_left,distance,duration,stops,price
Dubai,Sydney,First,Low,Low,30,12000,1198,1 stop,5905.36
Dubai,Mumbai,Economy,Peak,Medium,11,1900,379,1 stop,365.74
Dubai,Mumbai,Economy,Low,Medium,46,1900,202,Non-stop,201.87
Dubai,Los Angeles,Economy,Low,Low,14,13400,1065,Non-stop,1518.09
Dubai,Sydney,Business,Low,High,45,12000,960,Non-stop,7524.6
Dubai,Frankfurt,Economy,Low,High,54,4800,629,1 stop,626.45
Dubai,Sydney,Economy,Shoulder,Medium,43,12000,1128,1 stop,1258.95
Dubai,Mumbai,Economy,Low,Medium,2,1900,202,Non-stop,407.48
Dubai,Singapore,Economy,Low,Medium,49,5800,801,2+ stops,478.64
Dubai,Delhi,Economy,Shoulder,High,23,2200,225,Non-stop,280.68
Dubai,Sydney,Economy,Low,Low,9,12000,1093,1 stop,1412.92
Dubai,Frankfurt,Economy,Shoulder,High,8,4800,559,1 stop,879.81
Dubai,Tokyo,Economy,Peak,Low,45,8000,958,2+ stops,838.24
Dubai,New York,Business,Shoulder,Low,35,11000,1049,1 stop,3798.31
Dubai,Delhi,Economy,Peak,Medium,54,2200,363,1 stop,324.98
Dubai,Mumbai,Business,Shoulder,High,38,1900,202,Non-stop,1473.03
Dubai,Delhi,Economy,Shoulder,Medium,25,2200,225,Non-stop,404.89
Dubai,Frankfurt,Business,Low,High,45,4800,793,2+ stops,1515.32
Dubai,Tokyo,Economy,Peak,Medium,42,8000,833,1 stop,1085.63
Dubai,Sydney,Economy,Shoulder,Medium,34,12000,960,Non-stop,2157.38
Dubai,Delhi,Economy,Low,Low,13,2200,225,Non-stop,287.48
Dubai,Sydney,Economy,Shoulder,High,49,12000,1113,1 stop,1582.28
Dubai,Los Angeles,Economy,Peak,Low,3,13400,1437,2+ stops,3802.42
Dubai,Delhi,Economy,Low,Low,31,2200,367,1 stop,139.07
Dubai,New York,Economy,Low,Medium,4,11000,885,Non-stop,2399.0
Dubai,Sydney,Economy,Peak,Medium,51,12000,1173,1 stop,1957.88
Dubai,Tokyo,Economy,Shoulder,Medium,48,8000,660,Non-stop,1317.0
Dubai,New York,Economy,Low,Low,1,11000,1087,1 stop,2247.7
Dubai,Singapore,Business,Shoulder,Medium,60,5800,495,Non-stop,3379.4
Dubai,Sydney,Economy,Shoulder,Medium,59,12000,960,Non-stop,2264.96
Dubai,Singapore,Economy,Shoulder,Medium,26,5800,855,2+ stops,756.96
Dubai,Tokyo,Business,Shoulder,Low,15,8000,1100,2+ stops,2490.39
Dubai,Singapore,Economy,Peak,Low,34,5800,724,1 stop,687.28
Dubai,Delhi,First,Shoulder,Medium,21,2200,447,1 stop,1877.86
Dubai,Tokyo,Business,Shoulder,Medium,21,8000,660,Non-stop,4294.91
Dubai,London,Economy,Shoulder,Medium,13,5500,667,1 stop,845.07
Dubai,Singapore,Economy,Peak,Medium,45,5800,618,1 stop,1055.77
Dubai,Singapore,Economy,Shoulder,Low,54,5800,845,2+ stops,332.41
Dubai,Singapore,Economy,Low,High,31,5800,495,Non-stop,910.36
Dubai,Mumbai,Business,Low,Low,50,1900,372,1 stop,623.29
Dubai,Singapore,Business,Peak,Medium,43,5800,632,1 stop,3554.87
Dubai,Mumbai,Economy,Peak,High,45,1900,202,Non-stop,484.18
Dubai,Frankfurt,Business,Peak,High,25,4800,850,2+ stops,3510.37
Dubai,Los Angeles,Economy,Shoulder,High,56,13400,1328,2+ stops,2226.22
Dubai,Los Angeles,Economy,Peak,Low,40,13400,1262,1 stop,2131.07
Dubai,Tokyo,First,Shoulder,High,32,8000,908,2+ stops,4354.67
Dubai,Sydney,Business,Shoulder,Low,41,12000,1092,1 stop,2521.69
Dubai,London,Economy,Low,Low,34,5500,674,1 stop,372.15
Dubai,Tokyo,Economy,Low,High,10,8000,660,Non-stop,1627.98
Dubai,Delhi,First,Shoulder,Low,29,2200,702,2+ stops,1036.31
Dubai,Delhi,Business,Low,Medium,31,2200,225,Non-stop,861.86
Dubai,Singapore,Economy,Peak,Medium,1,5800,697,1 stop,3191.07
Dubai,Delhi,Business,Peak,High,15,2200,387,1 stop,2283.89
Dubai,Los Angeles,Economy,Peak,Medium,20,13400,1189,1 stop,4243.08
Dubai,Frankfurt,Business,Low,Low,35,4800,747,2+ stops,926.48
Dubai,Delhi,First,Low,High,52,2200,225,Non-stop,3868.18
Dubai,Tokyo,First,Peak,Medium,51,8000,660,Non-stop,11982.79
Dubai,Singapore,Economy,Peak,High,7,5800,671,1 stop,1708.17
Dubai,Sydney,Economy,Shoulder,Medium,45,12000,960,Non-stop,2683.29
Dubai,Singapore,First,Low,Low,35,5800,495,Non-stop,3220.44
Dubai,Mumbai,Economy,Peak,Low,27,1900,422,1 stop,343.79
Dubai,Frankfurt,Economy,Shoulder,Low,24,4800,420,Non-stop,766.23
Dubai,Frankfurt,Economy,Low,High,55,4800,682,2+ stops,375.49
Dubai,London,Business,Low,Low,37,5500,472,Non-stop,2081.74
Dubai,Sydney,Economy,Low,High,1,12000,960,Non-stop,4466.97
Dubai,Los Angeles,Economy,Peak,Low,23,13400,1213,1 stop,2128.95
Dubai,Tokyo,Economy,Peak,Medium,50,8000,660,Non-stop,1721.1
Dubai,London,Business,Peak,Medium,20,5500,708,1 stop,3344.65
Dubai,New York,Economy,Peak,Low,6,11000,885,Non-stop,3065.18
Dubai,Mumbai,Business,Low,Medium,19,1900,395,1 stop,674.01
Dubai,Mumbai,Business,Low,Medium,15,1900,421,1 stop,781.58
Dubai,Frankfurt,Economy,Low,Low,60,4800,550,1 stop,309.07
Dubai,Frankfurt,Business,Shoulder,Medium,36,4800,620,1 stop,1985.49
Dubai,Tokyo,Business,Peak,High,39,8000,660,Non-stop,6212.7
Dubai,Delhi,Economy,Low,High,24,2200,225,Non-stop,381.1
Dubai,Mumbai,First,Peak,Medium,42,1900,395,1 stop,1479.14
Dubai,Singapore,First,Low,Low,10,5800,663,1 stop,2306.5
Dubai,Sydney,Economy,Shoulder,Low,20,12000,1173,1 stop,1855.74
Dubai,Los Angeles,Business,Low,Low,29,13400,1243,1 stop,4497.54
Dubai,New York,Economy,Low,Medium,38,11000,1085,1 stop,866.38
Dubai,London,Economy,Peak,High,49,5500,472,Non-stop,2047.35
Dubai,Los Angeles,Economy,Shoulder,Low,36,13400,1498,2+ stops,490.04
Dubai,New York,Business,Shoulder,Medium,46,11000,1039,1 stop,4538.06
Dubai,Delhi,Business,Peak,Low,55,2200,225,Non-stop,1236.96
Dubai,Singapore,Business,Low,High,5,5800,628,1 stop,3912.18
Dubai,Los Angeles,Economy,Low,Low,39,13400,1065,Non-stop,2228.27
Dubai,Delhi,Economy,Shoulder,Medium,44,2200,600,2+ stops,200.67
Dubai,Frankfurt,Economy,Low,Medium,20,4800,610,1 stop,764.39
Dubai,London,Economy,Peak,Low,56,5500,734,2+ stops,552.28
Dubai,London,Economy,Peak,Medium,21,5500,652,1 stop,1421.78
Dubai,Frankfurt,First,Low,Medium,3,4800,420,Non-stop,5788.61
Dubai,Los Angeles,Economy,Peak,Medium,50,13400,1065,Non-stop,2887.97
Dubai,New York,Economy,Shoulder,Medium,17,11000,1083,1 stop,1992.96
Dubai,Los Angeles,First,Low,Medium,43,13400,1065,Non-stop,9889.76
Dubai,Tokyo,Economy,Low,Low,45,8000,1077,2+ stops,476.72
Dubai,Tokyo,Economy,Low,Medium,14,8000,660,Non-stop,1318.78
Dubai,Los Angeles,Economy,Peak,Low,50,13400,1273,1 stop,1867.49
Dubai,Los Angeles,Economy,Low,Low,45,13400,1282,1 stop,899.96
Dubai,Sydney,First,Shoulder,High,51,12000,1144,1 stop,10549.77
Dubai,Sydney,Economy,Peak,High,30,12000,1173,1 stop,2689.75
Dubai,Sydney,Business,Low,Low,42,12000,1124,1 stop,3936.63
Dubai,New York,Economy,Peak,Low,58,11000,1104,1 stop,1243.74
Dubai,Frankfurt,First,Shoulder,Medium,24,4800,420,Non-stop,5407.67
Dubai,Frankfurt,Business,Low,Low,54,4800,639,1 stop,1472.78
Dubai,New York,Economy,Low,Low,47,11000,1055,1 stop,970.91
Dubai,Sydney,Economy,Peak,Medium,8,12000,1319,2+ stops,1836.72
Dubai,Los Angeles,Economy,Low,Medium,37,13400,1264,1 stop,1078.68
Dubai,Mumbai,Economy,Peak,Medium,2,1900,202,Non-stop,726.5
Dubai,Singapore,Business,Low,Low,16,5800,690,1 stop,2235.62
Dubai,London,Economy,Low,Medium,54,5500,648,1 stop,587.62
Dubai,New York,Business,Peak,Low,13,11000,885,Non-stop,10865.5
Dubai,Mumbai,Economy,Peak,Medium,3,1900,345,1 stop,536.61
Dubai,Frankfurt,Economy,Peak,Medium,26,4800,647,1 stop,981.78
Dubai,Delhi,Economy,Peak,Low,6,2200,354,1 stop,435.47
Dubai,Frankfurt,Economy,Low,Low,29,4800,591,1 stop,421.62
Dubai,Frankfurt,Economy,Shoulder,Medium,51,4800,678,2+ stops,438.23
Dubai,Los Angeles,First,Low,Medium,51,13400,1200,1 stop,6994.4
Dubai,London,Economy,Shoulder,High,24,5500,601,1 stop,924.46
Dubai,Singapore,Economy,Low,High,32,5800,724,1 stop,617.43
Dubai,Sydney,First,Low,High,32,12000,960,Non-stop,11782.94
Dubai,Delhi,First,Peak,High,21,2200,430,1 stop,3774.77
Dubai,Los Angeles,Business,Peak,Medium,51,13400,1065,Non-stop,8518.13
Dubai,Sydney,Business,Low,Medium,24,12000,1197,1 stop,4326.32
Dubai,Tokyo,First,Peak,Medium,50,8000,848,1 stop,6905.99
Dubai,Delhi,Economy,Low,High,50,2200,415,1 stop,440.67
Dubai,London,Business,Shoulder,Medium,11,5500,472,Non-stop,3878.03
Dubai,Singapore,Business,Low,Medium,36,5800,495,Non-stop,2528.59
Dubai,Los Angeles,Economy,Shoulder,Low,40,13400,1257,1 stop,1516.84
Dubai,London,Economy,Peak,High,17,5500,684,1 stop,1482.68
Dubai,Mumbai,Economy,Peak,Medium,52,1900,539,2+ stops,224.35
Dubai,Tokyo,Economy,Low,Medium,21,8000,976,2+ stops,836.38
Dubai,Frankfurt,Economy,Low,Low,8,4800,420,Non-stop,663.38
Dubai,Tokyo,Business,Shoulder,High,58,8000,660,Non-stop,4965.61
Dubai,Los Angeles,Economy,Shoulder,Medium,20,13400,1195,1 stop,1963.69
Dubai,Frankfurt,Economy,Low,Medium,54,4800,596,1 stop,479.93
Dubai,Singapore,Business,Peak,Medium,26,5800,495,Non-stop,5385.79
Dubai,Tokyo,Economy,Peak,Low,40,8000,794,1 stop,1331.94
Dubai,Frankfurt,Economy,Low,Low,39,4800,600,1 stop,403.2
Dubai,Delhi,Economy,Low,High,9,2200,225,Non-stop,443.09
Dubai,Singapore,Economy,Shoulder,Medium,32,5800,650,1 stop,812.29
Dubai,Tokyo,Economy,Peak,High,45,8000,851,1 stop,1606.53
Dubai,Sydney,Business,Shoulder,Low,41,12000,1172,1 stop,3915.42
Dubai,New York,Economy,Shoulder,Medium,27,11000,1054,1 stop,1895.42
Dubai,London,Business,Shoulder,Medium,43,5500,637,1 stop,2842.47
Dubai,Mumbai,Economy,Peak,High,42,1900,505,2+ stops,295.67
Dubai,Singapore,Economy,Peak,Low,19,5800,697,1 stop,993.94
Dubai,Singapore,Economy,Shoulder,Medium,58,5800,931,2+ stops,599.05
Dubai,Singapore,First,Low,High,42,5800,495,Non-stop,5292.88
Dubai,Mumbai,Economy,Low,Medium,38,1900,202,Non-stop,180.1
Dubai,Sydney,Economy,Shoulder,High,7,12000,1096,1 stop,2887.64
Dubai,Delhi,Economy,Low,High,21,2200,225,Non-stop,340.44
Dubai,Sydney,Economy,Peak,High,59,12000,1300,2+ stops,1764.53
Dubai,Delhi,Economy,Peak,High,19,2200,467,2+ stops,707.04
Dubai,Singapore,Economy,Shoulder,Medium,57,5800,939,2+ stops,492.37
Dubai,Los Angeles,Business,Shoulder,High,1,13400,1279,1 stop,15444.94
Dubai,Tokyo,Business,Shoulder,Low,43,8000,660,Non-stop,4005.42
Dubai,London,Economy,Low,High,22,5500,472,Non-stop,1693.27
Dubai,Sydney,Economy,Low,Medium,26,12000,1190,1 stop,1727.3
Dubai,Singapore,Economy,Low,High,31,5800,495,Non-stop,987.16
Dubai,Mumbai,First,Peak,High,53,1900,202,Non-stop,2722.88
Dubai,New York,Economy,Shoulder,Medium,59,11000,1012,1 stop,1381.3
Dubai,Los Angeles,Economy,Peak,Medium,44,13400,1065,Non-stop,4029.99
Dubai,London,Economy,Shoulder,Medium,4,5500,673,1 stop,1310.54
Dubai,London,Business,Shoulder,Low,23,5500,657,1 stop,1910.64
Dubai,Delhi,Economy,Shoulder,High,50,2200,432,1 stop,423.41
Dubai,Delhi,Business,Peak,Medium,44,2200,674,2+ stops,778.61
Dubai,Mumbai,Economy,Low,High,54,1900,202,Non-stop,230.55
Dubai,Mumbai,Economy,Low,Low,30,1900,202,Non-stop,161.8
Dubai,New York,Economy,Shoulder,Medium,60,11000,1128,2+ stops,1000.95
Dubai,London,Economy,Low,Medium,35,5500,472,Non-stop,1055.58
Dubai,Singapore,Economy,Peak,Medium,37,5800,695,1 stop,920.13
Dubai,Mumbai,Economy,Low,Low,38,1900,661,2+ stops,110.49
Dubai,Frankfurt,First,Shoulder,High,21,4800,588,1 stop,5250.68
Dubai,Sydney,Business,Low,High,52,12000,1086,1 stop,5166.67
Dubai,Tokyo,Economy,Low,Medium,60,8000,824,1 stop,799.52
Dubai,Tokyo,Economy,Shoulder,High,13,8000,1041,2+ stops,1203.55
Dubai,Frankfurt,Economy,Peak,Low,13,4800,688,2+ stops,705.49
Dubai,Sydney,Economy,Low,Medium,19,12000,960,Non-stop,1797.37
Dubai,Mumbai,Business,Shoulder,High,47,1900,423,1 stop,1256.76
Dubai,Sydney,Business,Low,Medium,38,12000,1130,1 stop,3502.14
Dubai,Sydney,Economy,Shoulder,Medium,17,12000,1138,1 stop,2026.08
Dubai,Frankfurt,Economy,Peak,Medium,59,4800,897,2+ stops,694.74
Dubai,New York,First,Shoulder,High,27,11000,885,Non-stop,21097.34
Dubai,Sydney,Economy,Low,Medium,43,12000,1419,2+ stops,1249.5
Dubai,Tokyo,Economy,Shoulder,Low,19,8000,660,Non-stop,1343.14
Dubai,Los Angeles,Economy,Low,Low,13,13400,1215,1 stop,1234.3
Dubai,Tokyo,Economy,Low,Medium,20,8000,881,1 stop,1050.41
Dubai,New York,Economy,Low,Medium,41,11000,885,Non-stop,1111.49
Dubai,Frankfurt,Economy,Peak,Low,34,4800,715,2+ stops,544.42
Dubai,Singapore,Economy,Low,High,58,5800,693,1 stop,440.78
Dubai,Los Angeles,Business,Peak,Medium,5,13400,1065,Non-stop,14945.31
Dubai,Mumbai,Economy,Peak,Low,45,1900,382,1 stop,434.79
Dubai,New York,Economy,Peak,High,26,11000,1203,2+ stops,2281.53
Dubai,Sydney,Economy,Peak,Medium,44,12000,1125,1 stop,2313.31
Dubai,New York,Economy,Low,High,41,11000,885,Non-stop,1606.72
Dubai,Singapore,Economy,Peak,Low,6,5800,495,Non-stop,1288.75
Dubai,London,Economy,Shoulder,Medium,51,5500,472,Non-stop,770.9
Dubai,New York,Business,Shoulder,High,16,11000,1025,1 stop,9629.08
Dubai,Delhi,Economy,Low,Low,20,2200,354,1 stop,192.88
Dubai,Sydney,Economy,Low,Low,26,12000,960,Non-stop,1491.73
Dubai,Frankfurt,Economy,Peak,Medium,39,4800,420,Non-stop,913.78
Dubai,Frankfurt,Economy,Low,Medium,48,4800,598,1 stop,488.05
Dubai,Tokyo,Economy,Peak,Low,35,8000,660,Non-stop,2203.35
Dubai,Sydney,Economy,Low,Medium,53,12000,1390,2+ stops,1174.92
Dubai,Singapore,Economy,Peak,High,5,5800,686,1 stop,2017.9
Dubai,Tokyo,Economy,Peak,Medium,58,8000,1042,2+ stops,1480.88
Dubai,Frankfurt,Economy,Shoulder,Medium,42,4800,587,1 stop,655.9
Dubai,London,Economy,Low,High,36,5500,661,1 stop,686.81
Dubai,Mumbai,Economy,Peak,Medium,19,1900,437,1 stop,340.04
Dubai,Singapore,Economy,Peak,Medium,23,5800,667,1 stop,1356.3
Dubai,New York,Economy,Low,Low,52,11000,885,Non-stop,1259.86
Dubai,Los Angeles,Economy,Shoulder,Medium,52,13400,1207,1 stop,1352.32
Dubai,Sydney,Economy,Shoulder,Low,14,12000,960,Non-stop,1967.41
Dubai,New York,Business,Shoulder,Medium,13,11000,1036,1 stop,6861.78
Dubai,Tokyo,Economy,Shoulder,Medium,55,8000,800,1 stop,1058.99
Dubai,New York,Economy,Low,Low,8,11000,885,Non-stop,1409.19
Dubai,Los Angeles,Economy,Shoulder,Medium,35,13400,1262,1 stop,2009.93
Dubai,Los Angeles,Economy,Peak,Medium,56,13400,1065,Non-stop,3315.88
Dubai,Mumbai,Economy,Shoulder,Medium,27,1900,375,1 stop,249.45
Dubai,Sydney,Economy,Low,Medium,11,12000,1147,1 stop,1652.61
Dubai,New York,Economy,Shoulder,High,35,11000,1134,2+ stops,1349.6
Dubai,New York,Business,Shoulder,Low,56,11000,1232,2+ stops,2475.59
Dubai,New York,Business,Low,High,38,11000,1108,1 stop,5163.32
Dubai,Sydney,Business,Peak,Medium,35,12000,960,Non-stop,8826.6
Dubai,Singapore,Economy,Peak,Medium,58,5800,626,1 stop,1201.68
Dubai,Singapore,Business,Low,High,16,5800,495,Non-stop,3590.94
Dubai,Tokyo,Economy,Shoulder,Low,27,8000,660,Non-stop,960.75
Dubai,Tokyo,Economy,Low,High,24,8000,838,1 stop,1325.23
Dubai,New York,Business,Shoulder,Medium,23,11000,1315,2+ stops,3957.49
Dubai,Delhi,Economy,Peak,Medium,37,2200,225,Non-stop,524.95
Dubai,London,Economy,Shoulder,High,2,5500,472,Non-stop,1926.83
Dubai,Sydney,First,Peak,High,20,12000,960,Non-stop,28769.93
Dubai,Singapore,Economy,Shoulder,Medium,4,5800,495,Non-stop,1272.35
Dubai,New York,Business,Low,Medium,9,11000,1067,1 stop,6180.66
Dubai,New York,First,Shoulder,Low,5,11000,885,Non-stop,9582.3
Dubai,Frankfurt,Business,Low,High,49,4800,813,2+ stops,2310.91
Dubai,Los Angeles,Economy,Peak,Medium,10,13400,1452,2+ stops,1967.97
Dubai,Los Angeles,Business,Shoulder,Medium,28,13400,1065,Non-stop,7284.8
Dubai,Mumbai,Economy,Peak,Low,45,1900,202,Non-stop,361.95
Dubai,Mumbai,Economy,Low,Medium,51,1900,671,2+ stops,182.79
Dubai,New York,Economy,Peak,High,60,11000,885,Non-stop,2808.15
Dubai,Mumbai,Economy,Peak,High,50,1900,202,Non-stop,681.71
Dubai,London,First,Low,Low,46,5500,642,1 stop,4000.45
Dubai,Los Angeles,Economy,Low,Medium,14,13400,1342,2+ stops,1065.99
Dubai,New York,Economy,Shoulder,High,16,11000,885,Non-stop,2159.06
Dubai,London,Economy,Peak,High,8,5500,472,Non-stop,2171.54
Dubai,Frankfurt,Economy,Peak,High,11,4800,420,Non-stop,1788.54
Dubai,New York,Business,Low,High,18,11000,1036,1 stop,7440.07
Dubai,Mumbai,Economy,Shoulder,Medium,24,1900,202,Non-stop,392.62
Dubai,New York,Economy,Shoulder,Low,56,11000,885,Non-stop,1039.98
Dubai,Los Angeles,First,Peak,Medium,59,13400,1263,1 stop,12170.42
Dubai,Frankfurt,Economy,Low,Medium,33,4800,546,1 stop,302.97
Dubai,Delhi,Business,Peak,Medium,6,2200,345,1 stop,1583.58
Dubai,Sydney,Economy,Shoulder,Medium,50,12000,1167,1 stop,1506.17
Dubai,Tokyo,Economy,Shoulder,Medium,45,8000,1128,2+ stops,538.04
Dubai,Singapore,Economy,Shoulder,Low,32,5800,968,2+ stops,234.5
Dubai,Mumbai,Economy,Peak,Medium,48,1900,202,Non-stop,493.4
Dubai,New York,Economy,Low,Medium,9,11000,885,Non-stop,1453.23
Dubai,Frankfurt,Economy,Low,Low,13,4800,420,Non-stop,787.6
Dubai,Delhi,Economy,Shoulder,Medium,50,2200,225,Non-stop,297.39
Dubai,Los Angeles,Business,Low,High,39,13400,1065,Non-stop,8261.09
Dubai,Sydney,First,Low,Low,20,12000,960,Non-stop,14071.31
Dubai,Delhi,Economy,Shoulder,Low,7,2200,498,2+ stops,148.83
Dubai,Los Angeles,Economy,Shoulder,Medium,42,13400,1065,Non-stop,2052.62
Dubai,New York,Economy,Shoulder,High,6,11000,1324,2+ stops,2170.38
Dubai,Los Angeles,First,Shoulder,High,32,13400,1065,Non-stop,16668.03
Dubai,Los Angeles,Economy,Shoulder,Low,40,13400,1214,1 stop,1199.95
Dubai,London,Economy,Low,Medium,42,5500,838,2+ stops,400.59
Dubai,Tokyo,Business,Low,Medium,32,8000,660,Non-stop,3401.53
Dubai,London,Economy,Low,High,50,5500,472,Non-stop,958.68
Dubai,Sydney,First,Low,Medium,18,12000,1174,1 stop,9777.69
Dubai,Tokyo,Economy,Peak,High,12,8000,660,Non-stop,2471.68
Dubai,London,Business,Low,Medium,10,5500,615,1 stop,2875.03
Dubai,Singapore,Economy,Low,Low,39,5800,495,Non-stop,868.6
Dubai,Sydney,Business,Low,Low,52,12000,1277,2+ stops,1828.6
Dubai,New York,Business,Peak,High,24,11000,1084,1 stop,11180.1
Dubai,Los Angeles,Business,Shoulder,Medium,32,13400,1205,1 stop,6955.84
Dubai,Frankfurt,Economy,Shoulder,Low,20,4800,575,1 stop,750.56
Dubai,Tokyo,Business,Peak,Medium,12,8000,890,1 stop,7264.09
Dubai,Delhi,Economy,Peak,Low,21,2200,225,Non-stop,788.54
Dubai,Frankfurt,Economy,Low,Low,5,4800,420,Non-stop,564.92
Dubai,Tokyo,First,Peak,Medium,25,8000,660,Non-stop,11719.89
Dubai,Sydney,Economy,Low,High,19,12000,960,Non-stop,2755.11
Dubai,Tokyo,Economy,Low,High,6,8000,660,Non-stop,2048.28
Dubai,Tokyo,First,Low,High,11,8000,660,Non-stop,8527.27
Dubai,Mumbai,Business,Peak,Low,19,1900,202,Non-stop,1130.38
Dubai,Delhi,Economy,Low,Medium,19,2200,615,2+ stops,240.89
Dubai,Singapore,First,Shoulder,Low,51,5800,495,Non-stop,4089.51
Dubai,Mumbai,Economy,Low,Medium,12,1900,354,1 stop,230.11
Dubai,London,Economy,Shoulder,Low,43,5500,472,Non-stop,661.26
Dubai,Mumbai,Economy,Low,Medium,35,1900,434,1 stop,192.93
Dubai,Tokyo,First,Peak,Medium,58,8000,848,1 stop,15824.54
Dubai,Delhi,Economy,Peak,High,52,2200,225,Non-stop,695.87
Dubai,Sydney,First,Shoulder,High,17,12000,960,Non-stop,18991.0
Dubai,Mumbai,Economy,Low,Low,30,1900,445,2+ stops,113.91
Dubai,New York,Economy,Low,Medium,49,11000,1149,2+ stops,626.5
Dubai,Mumbai,Business,Peak,Low,42,1900,395,1 stop,730.08
Dubai,Tokyo,Economy,Peak,Medium,16,8000,660,Non-stop,2043.92
Dubai,Frankfurt,Business,Low,Low,32,4800,824,2+ stops,1117.78
Dubai,Delhi,Business,Low,High,39,2200,367,1 stop,860.18
Dubai,Mumbai,Business,Peak,Medium,11,1900,202,Non-stop,1875.73
Dubai,Mumbai,Business,Low,Low,54,1900,202,Non-stop,617.66
Dubai,Frankfurt,Business,Low,High,33,4800,420,Non-stop,3057.87
Dubai,Delhi,Economy,Low,High,38,2200,386,1 stop,323.14
Dubai,New York,Economy,Low,Low,37,11000,1030,1 stop,759.99
Dubai,Tokyo,Economy,Peak,High,44,8000,660,Non-stop,2537.32
Dubai,London,Economy,Shoulder,High,46,5500,866,2+ stops,595.02
Dubai,Singapore,Economy,Low,Medium,40,5800,495,Non-stop,565.29
Dubai,Frankfurt,Economy,Shoulder,Low,44,4800,420,Non-stop,458.25
Dubai,Singapore,Economy,Peak,High,20,5800,495,Non-stop,1962.37
Dubai,Tokyo,Economy,Shoulder,High,42,8000,815,1 stop,1507.72
Dubai,Sydney,Economy,Peak,Medium,41,12000,1188,1 stop,2222.32
Dubai,Mumbai,Economy,Low,Low,17,1900,389,1 stop,220.83
