distance,duration,departure_hour,weather_risk,traffic,delay
11209,1060,21,0.85,0.72,1
6067,724,10,0.4,0.3,0
7888,845,21,0.75,0.17,0
7653,913,0,0.3,0.21,0
10939,1044,14,0.44,0.68,0
13057,1125,21,0.08,0.52,0
6491,593,7,0.67,0.22,1
1400,188,7,0.98,0.61,0
8461,906,20,0.58,0.72,0
7547,750,4,0.66,0.01,0
13616,1135,13,0.22,0.8,0
8611,730,17,0.25,0.85,1
8612,976,17,0.6,0.95,0
11037,1145,13,0.83,0.55,0
13184,1291,14,0.26,0.25,0
13547,1342,15,0.63,0.27,1
5681,606,8,0.34,0.89,1
3471,438,12,0.69,0.71,1
7678,804,17,0.47,0.06,0
7381,912,22,0.02,0.88,0
8814,724,11,0.3,0.39,0
7865,924,23,0.73,0.8,0
8999,846,8,0.44,0.03,1
12127,1176,23,0.17,0.47,1
11195,1172,0,0.91,0.59,0
2375,457,4,0.87,0.18,1
6363,645,14,0.33,0.76,0
13320,1274,8,0.83,0.47,0
1853,377,7,0.65,0.78,0
13357,1076,7,0.2,0.02,1
3068,532,21,0.11,0.95,0
5198,637,5,0.61,0.96,0
13743,1173,9,0.11,0.03,0
12097,1159,12,0.94,0.2,0
11276,1029,3,0.7,0.3,0
2983,572,1,0.35,0.43,0
9289,930,0,0.85,0.82,1
6934,815,22,0.15,0.18,0
11657,1072,19,0.81,0.54,1
8136,807,10,0.85,0.83,1
8385,812,14,0.57,0.67,0
9098,908,5,0.49,0.35,0
5581,619,17,0.01,0.95,1
12797,1227,15,0.56,0.24,0
12662,1260,14,0.79,0.09,1
12334,1109,9,0.66,0.37,0
6632,774,23,0.55,0.35,0
6023,639,7,0.12,0.19,1
9779,887,6,0.22,0.48,0
13455,1337,19,0.28,0.1,1
4727,598,5,0.3,0.71,0
1745,217,17,0.29,0.94,0
13333,1310,3,0.87,0.57,0
8216,850,5,0.97,0.25,0
2869,308,12,0.49,0.58,0
3485,397,18,0.95,0.09,1
10143,1033,19,0.6,0.62,0
7232,832,14,0.3,0.59,0
10316,863,19,0.96,0.1,0
11248,1011,8,0.66,0.16,1
2229,307,0,0.41,0.69,0
1534,293,9,0.71,0.7,1
12262,1098,8,0.79,0.63,0
4241,595,3,0.54,0.65,0
3330,345,1,0.17,0.31,0
10325,981,14,0.12,0.69,0
5460,725,17,0.49,0.08,1
8078,830,19,0.25,0.09,0
10424,1141,0,1.0,0.67,1
1659,273,15,0.52,0.44,0
10590,1077,20,0.81,0.97,1
7690,806,10,0.67,0.86,1
12365,1240,9,0.66,0.4,0
1601,412,2,0.31,0.32,0
7622,894,0,0.66,0.54,0
4073,630,11,0.62,0.5,0
1845,302,8,0.55,0.93,1
12440,1241,3,0.03,0.63,0
12629,1088,9,0.55,0.55,1
2858,510,3,0.65,0.15,0
5781,753,22,0.27,0.83,0
4993,667,17,0.14,0.19,0
13227,1121,2,0.28,0.79,0
13905,1361,8,0.82,0.28,1
10616,1152,21,0.49,0.15,0
6654,729,17,0.76,0.38,0
4090,488,18,0.38,0.86,0
6213,767,22,0.91,0.38,0
13982,1185,15,0.96,0.13,0
6439,593,14,0.1,0.91,1
3361,521,20,0.97,0.07,0
5342,633,19,0.69,0.65,0
12048,1236,12,0.95,0.63,0
8994,1011,1,0.62,0.23,0
5708,604,23,0.09,0.98,0
12532,1050,14,0.17,0.3,1
6314,561,9,0.36,0.43,0
7751,930,21,0.79,0.17,1
7267,728,15,0.91,0.14,0
5161,682,8,0.67,0.9,1
5712,767,5,0.07,0.95,0
5901,719,22,0.25,0.85,1
7302,854,3,0.24,0.57,0
12456,1145,0,0.98,0.66,1
10272,855,19,0.75,0.83,0
13709,1205,19,0.8,0.22,1
5106,512,20,0.1,0.63,1
13920,1329,1,0.58,0.73,1
5835,664,23,0.42,0.2,0
6994,855,16,0.91,0.83,1
8894,878,23,0.87,0.8,0
2233,299,7,0.86,0.72,0
10131,1006,2,0.79,0.01,0
8451,881,21,0.75,0.26,1
11461,1109,3,0.67,0.47,0
10198,991,19,0.22,0.06,0
12486,1150,20,0.41,0.14,0
5986,760,3,0.1,0.89,1
8432,881,21,0.95,0.7,0
10622,935,13,0.65,0.83,0
5583,494,22,0.37,0.44,0
6942,630,21,0.37,0.9,0
1992,412,8,0.19,0.12,0
8450,739,21,0.21,0.64,0
1828,367,7,0.99,0.79,1
13536,1358,6,0.59,0.81,1
13687,1161,19,0.0,0.86,1
3129,570,8,0.8,0.11,0
3159,303,11,0.79,0.24,1
3854,484,1,0.13,0.42,0
2041,456,14,0.78,0.51,1
9254,867,19,0.04,0.78,0
9543,929,14,0.64,0.03,0
7580,846,21,0.11,0.71,0
2323,398,19,0.15,0.13,0
10590,1134,22,0.33,0.99,0
8433,950,19,0.43,0.79,1
11726,1221,23,0.87,0.43,0
7779,816,14,0.4,0.73,0
6120,649,11,0.95,0.69,0
2494,290,2,0.43,0.74,0
3131,578,1,0.59,0.56,0
3002,495,11,0.87,0.94,1
12813,1046,9,0.6,0.35,0
4485,475,21,0.48,0.85,0
10113,1006,3,0.76,0.57,0
10190,1109,0,0.61,0.66,0
1474,262,8,0.7,0.31,0
1100,234,4,0.57,0.4,1
11373,927,2,0.75,0.22,1
6585,633,11,0.31,0.32,0
10768,910,1,0.16,0.75,1
2336,374,14,0.66,0.49,0
5475,580,16,0.11,0.43,0
12116,1217,16,0.67,0.05,0
10819,899,0,0.2,0.95,0
13520,1204,9,0.33,0.01,0
3878,416,12,0.53,0.23,0
11945,1136,2,0.4,0.74,0
8532,738,10,0.58,0.57,0
7843,796,3,0.41,0.97,1
11127,1129,22,0.92,0.09,0
4986,656,18,0.4,0.08,0
13219,1224,7,0.33,0.17,0
2868,546,16,0.19,0.78,0
11574,1003,7,0.1,0.26,1
3504,360,5,0.95,0.63,0
10236,1123,14,0.68,0.88,0
11232,1067,20,0.32,0.44,0
11344,1065,8,0.59,0.35,1
8565,933,1,0.06,0.83,1
2479,504,12,0.46,0.55,0
1672,415,18,0.65,0.32,0
3471,351,14,0.1,0.9,0
12703,1055,16,0.65,0.04,0
8199,942,16,0.61,0.36,0
7347,820,10,0.68,0.05,0
6482,579,10,0.09,0.68,0
12857,1100,10,0.08,0.66,0
6082,716,4,0.6,0.94,1
7171,765,4,0.67,0.83,0
12229,1246,2,0.65,0.42,0
6940,738,5,0.95,0.34,0
4145,485,4,0.15,0.3,0
9317,1034,23,0.88,0.04,1
13555,1143,19,0.38,0.16,0
13633,1166,23,0.44,0.41,0
4891,653,19,0.28,0.75,0
9749,913,9,0.97,0.78,0
4178,561,21,0.95,0.98,1
5616,676,16,0.53,0.97,0
10906,947,8,0.05,0.48,0
2680,525,3,0.29,0.76,0
9410,840,13,0.09,0.91,0
6727,577,13,0.05,0.5,0
2337,426,7,0.03,0.93,0
11648,1104,4,0.14,0.29,0
12404,1061,22,0.47,0.62,0
1311,289,6,0.83,0.55,0
9647,999,3,0.78,0.24,1
4906,641,20,0.79,0.46,1
9189,1023,0,0.63,0.58,0
5772,711,0,0.61,0.24,0
11885,994,16,0.97,0.07,0
9312,1017,17,0.02,0.87,1
7338,801,8,0.75,0.36,1
4950,484,18,0.74,0.33,1
9945,978,20,0.18,0.78,0
12393,1234,20,0.18,0.13,0
8498,715,9,0.2,0.79,0
6170,680,16,0.4,0.82,0
1599,276,9,0.36,0.78,0
6438,681,3,0.8,0.44,0
8204,872,10,0.97,0.5,0
9507,909,2,0.73,0.08,0
3956,635,9,0.32,0.08,0
6021,739,19,0.72,0.17,1
8325,705,23,0.87,0.35,0
5498,501,2,0.67,0.41,0
13286,1137,0,0.14,0.61,0
1570,241,2,0.24,0.65,0
10293,847,19,0.15,0.45,0
8273,719,18,0.14,0.37,0
5566,604,3,0.03,0.19,0
10202,885,8,0.77,0.7,1
11024,1032,22,0.92,0.49,1
2213,456,5,0.9,0.45,1
12172,1135,21,0.35,0.06,0
5914,583,22,0.71,0.7,1
6922,839,7,0.12,0.2,1
13949,1358,0,0.36,0.57,0
10038,878,19,0.88,0.07,1
12746,1260,16,0.41,0.41,0
3053,450,20,0.07,0.47,0
3102,574,20,0.59,0.77,1
9238,780,3,0.52,0.3,1
12621,1121,11,0.95,0.52,1
2292,359,6,0.64,0.55,1
5961,780,2,0.5,0.17,0
3526,411,21,0.62,0.9,1
10234,848,0,0.08,0.95,0
5336,567,18,0.42,0.64,0
11275,1184,9,0.64,0.3,1
12222,1183,9,0.45,0.69,1
7809,892,14,0.2,0.61,0
12769,1180,23,0.99,0.35,1
13462,1258,16,0.56,0.32,0
5382,693,7,0.14,0.05,0
11082,1105,7,0.96,0.9,0
10464,1004,6,0.76,0.5,0
9171,904,15,0.02,0.95,0
4944,540,18,0.35,0.05,0
11719,1178,9,0.54,0.85,1
5333,646,12,0.37,0.4,0
4189,559,17,0.29,0.39,0
10008,953,19,0.68,0.12,0
7453,809,10,0.56,0.37,1
10870,1135,12,0.5,0.05,1
6456,786,16,0.46,0.61,0
6373,700,5,0.39,0.62,0
10727,1036,16,0.83,0.53,0
5911,746,0,0.37,0.67,0
10563,1009,23,0.87,0.63,0
5350,757,18,0.23,0.05,0
9589,973,4,0.82,0.24,0
12477,1051,6,0.02,0.31,0
12313,1087,13,0.5,0.61,0
13055,1070,22,0.14,0.21,0
11849,1192,16,0.38,0.96,0
9734,965,17,0.35,0.77,0
11539,1060,19,0.48,0.96,1
5890,616,9,0.77,0.7,0
9011,897,15,0.35,0.93,0
5480,618,3,0.57,0.54,0
7464,795,4,0.29,0.29,0
6674,786,20,0.26,0.48,0
9824,934,17,0.7,0.14,0
10614,978,7,0.05,0.91,1
4814,447,3,0.41,0.72,1
13628,1152,0,0.96,0.98,1
11696,1180,15,0.65,0.76,0
5676,515,2,0.65,0.23,0
1611,269,13,0.88,0.18,0
7504,875,5,0.94,0.96,0
1613,184,9,0.57,0.11,0
5662,716,20,0.54,0.49,0
9261,993,8,0.19,0.11,1
8518,829,22,0.19,0.74,0
10302,930,5,0.61,0.64,0
8007,923,10,0.09,0.67,0
3303,551,10,0.94,0.01,0
8319,819,10,0.3,0.72,1
11709,1122,22,0.24,0.67,0
3616,538,21,0.5,0.9,0
6095,577,20,0.92,0.3,0
4590,472,15,0.15,0.75,0
7813,926,15,0.76,0.8,0
13482,1197,21,0.75,0.87,1
8319,953,22,0.36,0.92,1
9972,1065,6,0.57,0.15,0
9525,1000,3,0.68,0.72,0
9361,990,1,0.45,0.51,0
1945,491,14,0.67,0.31,1
5169,448,23,0.22,0.07,0
12475,1027,17,0.99,0.93,1
8734,731,9,0.41,0.77,0
12948,1246,11,0.99,0.38,0
7184,790,2,0.68,0.66,0
11707,1116,3,0.18,0.54,0
12925,1143,0,0.76,0.98,1
12781,1296,13,0.53,0.82,1
6671,639,8,0.19,0.88,0
1527,388,19,0.77,0.88,1
4376,422,3,0.59,0.45,0
1797,319,23,0.04,0.44,0
13359,1089,4,0.5,0.29,0
12985,1327,10,0.58,0.77,0
4881,580,4,0.99,0.52,0
5508,504,17,0.95,0.88,0
11256,1122,17,0.5,0.97,0
11999,1154,16,0.32,0.42,1
7167,691,17,0.47,0.85,1
12592,1077,14,0.91,0.56,0
10130,1090,4,0.39,0.25,0
2295,462,11,0.09,0.72,0
5398,657,21,0.6,0.04,1
13479,1370,23,0.67,0.22,1
6455,699,0,0.21,0.19,0
13236,1297,7,0.7,0.7,1
4921,711,10,0.78,0.38,0
6886,733,8,0.36,0.88,0
12836,1262,10,0.91,0.37,1
10216,939,23,0.15,0.26,0
10488,1059,9,0.15,0.33,0
5026,691,17,0.65,0.68,1
9005,986,14,0.17,0.79,0
12801,1299,15,0.18,0.89,0
1962,475,1,0.84,0.07,0
1794,197,13,0.14,0.63,0
3474,324,6,0.51,0.37,0
11924,1201,21,0.49,0.01,0
1194,157,16,0.72,0.54,1
9228,972,5,0.11,0.1,1
4144,639,8,0.82,0.27,1
7112,800,14,0.57,0.99,1
12207,1016,20,0.99,0.65,1
7640,827,12,0.55,0.06,1
3807,387,15,0.85,0.64,1
2562,522,1,0.23,0.9,0
10286,1074,8,0.05,0.07,0
9897,1090,21,0.03,0.93,1
4394,689,4,0.75,0.71,0
2260,382,5,0.56,0.57,0
12092,1242,10,0.38,0.74,0
12293,1021,16,0.75,0.35,1
4803,458,10,0.61,0.61,0
13673,1252,0,0.63,0.78,0
4737,597,17,0.94,0.43,0
11824,1140,2,0.77,0.3,1
2204,267,8,0.15,0.71,0
13118,1242,10,0.36,0.09,0
8286,865,8,0.1,0.09,0
10125,1103,16,0.41,0.03,0
2524,415,12,0.01,0.41,0
12875,1311,7,0.57,0.17,1
3274,442,9,0.27,0.15,1
5521,689,9,0.48,0.08,1
5040,691,19,0.62,0.46,1
1110,345,10,0.84,0.38,0
8212,846,13,0.82,0.86,0
3230,455,10,0.6,0.7,0
3910,556,10,0.29,0.69,0
10435,966,10,0.38,0.82,0
2865,562,6,0.59,0.55,0
10012,823,23,0.46,0.71,0
5773,527,13,0.67,0.14,0
5139,523,22,0.42,0.38,0
10796,1114,18,0.4,0.51,0
12332,1198,17,0.04,0.97,0
9796,837,3,0.77,0.66,1
11600,952,18,0.98,0.68,1
13331,1228,13,0.11,0.1,0
13236,1317,17,0.58,0.58,0
7408,852,21,0.59,0.5,0
1402,412,3,0.3,0.92,1
12962,1104,11,0.31,0.46,0
8912,906,15,0.1,0.72,0
2100,370,1,0.81,0.12,0
11616,986,21,0.8,0.93,0
9454,858,17,0.16,0.56,0
4798,626,20,0.18,0.64,0
1478,271,14,0.59,0.39,0
4371,529,22,0.81,0.06,1
9796,889,11,0.33,0.46,0
9019,1006,20,0.31,0.39,0
2871,453,11,0.85,0.62,0
12566,1154,19,0.59,0.67,1
4908,584,3,0.18,0.69,0
7852,718,18,0.38,0.19,0
12361,1075,17,0.17,0.29,1
8389,716,11,0.95,0.48,1
7290,893,16,0.65,0.41,0
12634,1234,15,0.17,0.57,0
4613,554,1,0.27,0.54,0
8492,985,23,0.77,0.5,0
10383,896,8,0.78,0.82,1
13399,1085,23,0.44,0.22,0
13058,1165,9,0.87,0.03,1
2425,465,3,0.78,0.24,0
10632,1036,22,0.61,0.43,0
13858,1204,6,0.81,0.57,0
10778,1143,5,0.32,0.7,0
5380,726,21,0.82,0.14,0
7743,670,8,0.87,0.13,0
5090,515,22,0.32,0.25,0
7434,867,4,0.58,0.27,0
8405,728,20,0.79,0.77,1
13284,1198,22,0.94,0.37,0
6362,834,0,0.87,0.85,1
8511,881,2,0.8,0.4,0
4470,648,8,0.32,0.28,0
3139,584,15,0.79,0.89,0
1752,241,20,0.78,0.46,1
3588,554,14,0.0,0.96,1
12281,1048,20,0.3,0.87,0
2529,433,8,0.08,0.66,0
1848,400,20,0.31,0.7,0
11739,986,22,0.1,0.21,1
10726,979,16,0.68,0.01,0
2975,499,22,0.13,0.07,0
12972,1084,3,0.31,0.88,1
13672,1153,20,0.99,0.14,0
1138,229,14,0.35,0.21,0
7745,866,6,0.09,0.1,0
10659,1055,11,0.96,0.31,1
5537,518,7,0.55,0.6,0
13762,1105,21,0.88,0.21,0
4090,566,9,0.65,0.78,0
4921,682,12,0.11,0.5,0
9655,790,11,0.93,0.13,0
10312,1048,11,0.55,0.17,0
13621,1118,0,0.59,0.01,1
1990,412,16,0.29,0.71,0
7939,860,2,0.64,0.54,0
2369,395,2,0.51,0.2,0
9788,961,12,0.59,0.76,0
11537,958,9,0.7,0.73,0
1948,331,2,0.92,0.12,0
1901,360,21,0.74,0.74,1
12598,1074,22,0.01,0.5,0
9474,902,5,0.37,0.75,0
13008,1095,0,0.34,0.43,0
5308,753,20,0.08,0.46,0
9185,1038,5,0.37,0.26,1
10402,899,7,0.74,0.0,0
1201,275,1,0.47,0.38,0
1579,461,22,0.74,0.42,1
7819,809,8,0.83,0.57,1
12031,988,5,0.22,0.52,1
7568,662,14,0.87,0.77,1
2415,524,14,0.01,0.2,0
5979,632,14,0.37,0.97,0
13712,1188,23,0.9,0.76,1
1104,351,0,0.23,0.35,0
1157,317,0,0.76,0.38,0
6038,565,6,0.53,0.24,0
1981,280,22,0.28,0.04,0
9515,984,22,0.9,0.46,0
10515,896,16,0.13,0.82,1
10303,863,13,0.66,0.13,0
6161,723,22,0.83,0.33,0
4827,460,6,0.14,0.77,0
2731,348,14,0.47,0.41,0
13621,1187,14,0.31,0.27,1
3582,483,22,0.7,0.04,0
6370,612,2,0.71,0.97,1
1802,348,8,0.82,0.17,0
8408,974,23,0.55,0.09,1
3290,368,0,0.06,0.78,0
4246,583,11,0.69,0.94,1
10602,987,2,0.02,0.06,0
8265,744,2,0.91,0.83,1
1699,423,1,0.17,0.57,0
7471,874,0,0.38,0.43,0
4066,504,8,0.45,0.15,0
11108,1018,20,0.3,0.41,0
1999,253,8,0.38,0.42,0
9614,908,20,0.99,0.54,1
7266,787,15,0.54,0.48,0
9231,916,12,0.27,0.03,0
1480,314,1,0.81,0.47,0
10568,971,5,0.1,0.66,0
13963,1135,7,0.58,0.98,1
3846,438,7,0.59,0.81,0
10692,875,22,0.7,0.95,0
10225,922,15,0.54,0.18,1
1920,323,19,0.22,0.53,1
11061,992,4,0.34,0.18,0
6301,562,0,0.15,0.7,0
2817,540,11,0.96,0.37,0
7481,921,3,0.34,0.32,0
12998,1257,20,0.96,0.65,1
10207,1007,7,0.67,0.81,1
13025,1186,4,0.18,0.0,0
10385,1038,18,0.03,0.6,0
11016,999,20,0.57,0.94,1
13211,1089,7,0.35,0.32,0
2453,414,14,0.01,0.21,0
6742,696,3,0.72,0.05,0
7875,735,13,0.49,0.38,0
2661,504,18,0.65,0.69,1
2207,242,9,0.02,0.26,1
6600,642,12,0.16,0.08,0
2525,422,19,0.99,0.89,0
8066,748,19,0.89,0.16,1
4367,484,13,0.7,0.72,0
5346,604,9,0.24,0.05,0
9043,816,1,0.36,0.43,0
11846,1193,6,0.1,0.21,0
2342,477,3,0.31,0.4,0
11830,1082,2,0.64,0.39,0
7249,792,5,0.45,0.26,0
4706,549,18,0.06,0.75,0
2404,416,17,0.41,0.76,1
1999,407,16,0.42,0.54,0
8779,1011,7,0.48,0.08,0
12703,1029,16,0.57,0.52,0
11162,972,3,0.95,0.45,0
3738,448,6,0.13,0.42,0
8133,772,20,0.15,0.6,0
12912,1062,2,0.39,0.4,0
5525,740,14,0.92,0.01,0
10626,1123,13,0.11,0.15,0
10546,901,3,0.56,0.1,0
9775,969,13,0.26,0.65,0
8750,735,5,0.28,0.14,0
12364,1192,1,0.4,0.88,0
1807,438,8,0.9,0.02,0
5965,666,8,0.84,0.86,1
4734,483,9,0.97,0.44,0
5414,679,19,0.65,0.19,1
7671,883,16,0.87,0.82,1
3604,363,9,0.71,0.4,0
9589,1070,0,0.17,0.88,1
1944,332,1,0.46,0.92,0
5488,659,14,0.51,0.64,1
1500,295,11,0.49,0.45,0
8775,1018,17,0.35,0.16,0
13270,1101,9,0.03,0.05,0
13776,1202,7,0.65,0.68,1
7709,900,0,0.86,0.97,0
8767,784,20,0.17,0.8,0
10967,1038,22,0.97,0.64,1
7168,775,14,0.25,0.47,0
11217,1104,18,0.1,0.51,0
7131,881,20,0.59,0.28,0
8892,758,10,0.99,0.64,0
5278,607,6,0.15,0.77,0
10830,1078,21,0.32,0.14,1
9148,897,8,0.91,0.4,0
10552,1143,6,0.34,0.71,0
11458,1162,21,0.36,0.3,0
11774,1228,5,0.29,0.47,0
12881,1312,5,0.95,0.9,0
4641,589,7,0.74,0.31,0
6428,732,8,0.59,0.46,1
1879,498,18,0.94,0.07,0
9199,810,21,0.38,0.3,1
3470,390,6,0.34,0.99,0
8496,770,10,0.86,0.18,1
6449,633,10,0.63,0.0,0
13471,1156,18,0.76,0.49,0
2442,309,19,0.43,0.43,0
8821,917,0,0.04,0.2,0
1230,316,16,0.19,0.68,0
5076,555,22,0.88,0.31,1
9246,909,5,0.07,0.05,0
8469,961,19,0.52,0.43,0
3192,474,15,0.36,0.19,0
7609,639,7,0.22,0.98,1
1359,419,5,0.12,0.71,0
7147,726,17,0.62,0.59,1
2771,277,1,0.69,0.42,0
9966,936,15,0.7,0.21,0
1152,300,13,0.66,0.66,0
10922,949,13,0.83,0.1,0
2928,423,3,0.78,0.5,0
13746,1224,16,0.97,0.36,1
3627,352,17,0.5,0.21,0
6416,661,0,0.01,0.09,0
10406,1092,4,0.95,0.78,1
12855,1075,8,0.64,0.46,0
5327,696,1,0.1,0.17,1
5760,675,21,0.31,0.74,0
13422,1089,0,0.85,0.66,1
6857,798,19,0.27,0.73,0
6615,649,3,0.4,0.96,0
7319,852,13,0.65,0.8,1
12406,1020,5,0.1,0.91,0
10321,1058,5,0.61,0.78,0
12214,1042,15,0.92,0.11,1
1753,223,8,0.65,0.01,0
9598,1074,23,0.57,0.98,0
6542,815,16,0.69,0.62,0
12905,1154,15,0.35,0.68,0
10147,848,0,0.64,0.16,0
9123,828,2,0.75,0.32,1
5557,501,16,0.22,0.64,0
4850,463,14,0.44,0.57,1
9166,975,10,0.12,0.5,0
2681,467,13,0.04,0.55,0
13972,1262,16,0.56,0.65,0
6584,739,1,0.82,0.84,1
13573,1319,22,0.66,0.72,1
13440,1181,0,0.34,0.83,0
5783,773,16,0.37,0.11,0
9067,811,22,0.74,0.41,1
4209,471,3,0.93,0.39,0
13802,1192,22,0.34,0.76,1
11375,976,14,0.46,0.59,0
9172,749,16,0.74,0.55,1
10586,1100,16,0.78,0.91,0
3845,413,3,0.39,0.6,0
9259,950,13,0.98,0.92,0
5482,674,10,0.97,0.45,1
7762,904,9,0.84,0.55,1
13072,1323,20,0.22,0.21,0
12249,1154,21,0.13,0.71,0
3913,610,17,0.69,0.32,1
6771,854,15,0.58,0.94,0
12046,1236,9,0.88,0.42,1
2744,277,12,0.15,0.67,0
13291,1138,9,0.68,0.15,1
13850,1249,6,0.75,0.03,0
2679,547,7,0.74,0.56,1
13850,1245,22,0.66,0.93,1
13912,1263,17,0.05,0.74,1
13794,1320,7,0.91,0.7,0
13371,1341,23,0.6,0.78,0
5819,725,5,0.98,0.07,0
13043,1301,3,0.38,0.43,0
3131,376,18,0.85,0.01,1
3536,345,4,0.93,0.6,0
11246,1057,15,0.79,0.55,1
12594,1166,16,0.22,0.18,1
9276,836,13,0.54,0.4,0
4495,566,10,0.36,0.22,0
9691,1029,17,0.82,0.98,1
11959,1133,14,0.24,0.64,0
4994,454,21,0.89,0.38,0
2857,471,8,0.54,0.28,0
13623,1272,16,0.8,0.45,1
11674,1033,10,0.51,0.95,1
13670,1360,17,0.01,0.07,0
13674,1194,21,0.42,0.1,0
12513,1220,20,0.82,0.07,0
1389,399,22,0.33,0.09,0
5127,729,2,0.57,0.23,0
7357,841,20,0.4,0.32,0
2938,553,0,0.64,0.62,0
10594,877,22,0.85,0.36,0
5748,645,19,0.09,0.77,0
7473,635,15,0.16,0.22,0
9941,956,20,0.14,0.68,0
12949,1222,0,0.55,0.56,1
1082,434,19,0.39,0.55,1
4441,569,6,0.41,0.65,0
3637,426,7,0.62,0.25,1
11993,1249,1,0.85,0.93,0
8557,982,2,0.29,0.07,1
12888,1323,15,0.95,0.36,0
4842,474,9,0.62,0.9,1
8383,856,19,0.66,0.69,1
10287,1017,10,0.96,0.17,1
13872,1213,22,0.74,0.44,0
3200,469,15,0.46,0.36,0
10038,867,5,0.65,0.08,0
3293,581,6,0.26,0.89,1
2235,236,16,0.63,0.81,0
13602,1188,1,0.55,0.54,0
8734,791,11,0.39,0.89,0
5767,560,14,0.5,0.09,0
1173,269,19,0.68,0.76,1
3608,421,18,0.95,0.66,0
13057,1286,11,0.04,0.76,0
5331,648,7,0.04,0.21,0
6918,776,15,0.92,0.88,1
11625,1096,3,0.7,0.52,0
13155,1180,18,0.54,0.17,0
6985,883,20,0.9,0.08,1
4651,672,12,0.35,0.87,0
8898,730,16,0.88,0.44,1
9430,910,6,0.15,0.16,0
2938,397,13,0.81,0.72,0
8844,968,6,0.59,0.65,0
4992,456,4,0.57,0.16,0
1642,476,4,0.06,0.26,0
7642,921,20,0.02,0.72,0
5644,526,6,0.45,0.99,0
3794,456,13,0.6,0.79,0
3979,619,8,0.17,0.69,0
10773,902,7,0.38,0.13,1
9564,1035,21,0.42,0.15,1
8796,738,17,0.5,0.12,0
3135,571,0,0.9,0.77,0
9553,991,11,0.87,0.7,1
8899,922,11,0.59,0.74,0
12414,1285,3,0.43,0.25,0
2373,382,19,0.88,0.41,1
12618,1009,18,0.52,0.52,1
4365,548,13,0.36,0.15,0
5155,579,17,0.42,0.37,1
12151,1174,6,0.41,0.78,0
7065,875,17,0.48,0.99,0
13684,1289,23,0.14,0.86,1
4764,645,22,0.95,0.1,0
13879,1273,17,0.61,0.68,1
7375,615,2,0.82,0.47,0
2444,275,8,0.22,0.08,1
7296,812,19,0.66,0.29,0
1941,294,20,0.49,0.01,0
9489,917,6,0.03,0.6,0
4795,505,21,0.04,0.24,1
3579,372,8,0.78,0.35,1
10602,957,16,0.02,0.7,0
10004,955,23,0.83,0.92,1
5530,589,19,0.96,0.45,1
1076,273,5,0.41,0.11,1
5821,670,3,0.8,0.96,0
13998,1403,8,0.69,0.97,1
13615,1205,10,0.96,0.46,0
10614,870,15,0.12,0.07,0
